filename,butterfly_id,,,
img001,b001,,,
img002,b001,,,
img003,b001,,,
img004,b001,,,
img005,b001,,,
img006,b001,,,
img007,b001,,,
img008,b001,,,
img009,b001,,,
img010,b001,,,
img011,b001,,,
img012,b001,,,
img013,b002,,,
img014,b002,,,
img015,b002,,,
img016,b002,,,
img017,b002,,,
img018,b002,,,
img019,b002,,,
img020,b002,,,
img021,b002,,,
img022,b002,,,
img023,b002,,,
img024,b002,,,
img025,b002,,,
img026,b003,,,
img027,b003,,,
img028,b003,,,
img029,b003,,,
img030,b003,,,
img031,b003,,,
img032,b003,,,
img033,b003,,,
img034,b003,,,
img035,b003,,,
img036,b003,,,
img037,b003,,,
img038,b003,,,
img039,b003,,,
img040,b003,,,
img041,b003,,,
img042,b003,,,
img043,b004,,,
img044,b004,,,
img045,b004,,,
img046,b004,,,
img047,b004,,,
img048,b004,,,
img049,b004,,,
img050,b004,,,
img051,b004,,,
img052,b004,,,
img053,b004,,,
img054,b004,,,
img055,b004,,,
img056,b004,,,
img057,b005,,,
img058,b005,,,
img059,b005,,,
img060,b005,,,
img061,b005,,,
img062,b005,,,
img063,b005,,,
img064,b005,,,
img065,b005,,,
img066,b005,,,
img067,b005,,,
img068,b005,,,
img069,b005,,,
img070,b005,,,
img071,b005,,,
img072,b005,,,
img073,b006,,,
img074,b006,,,
img075,b006,,,
img076,b006,,,
img077,b006,,,
img078,b006,,,
img079,b006,,,
img080,b006,,,
img081,b006,,,
img082,b006,,,
img083,b006,,,
img084,b006,,,
img085,b006,,,
img086,b006,,,
img087,b006,,,
img088,b006,,,
img089,b006,,,
img090,b007,,,
img091,b007,,,
img092,b007,,,
img093,b007,,,
img094,b007,,,
img095,b007,,,
img096,b007,,,
img097,b007,,,
img098,b007,,,
img099,b007,,,
img100,b007,,,
img101,b007,,,
img102,b007,,,
img103,b007,,,
img104,b007,,,
img105,b007,,,
img106,b007,,,
img107,b007,,,
img108,b007,,,
img109,b007,,,
